Expertise,Difficulty,Satisfaction
Out-domain,Easy,4.0
Out-domain,Hard,4.0
Out-domain,Hard,5.0
Out-domain,Hard,4.0
Out-domain,Hard,4.0
Out-domain,Hard,5.0
Out-domain,Hard,5.0
Out-domain,Hard,4.0
In-domain,Easy,3.0
In-domain,Easy,5.0
In-domain,Easy,4.0
In-domain,Easy,4.0
In-domain,Easy,5.0
In-domain,Easy,4.0
In-domain,Easy,4.0
In-domain,Easy,5.0
In-domain,Easy,4.0
In-domain,Easy,5.0
In-domain,Easy,4.0
In-domain,Easy,5.0
In-domain,Easy,5.0
In-domain,Easy,4.0
In-domain,Easy,3.0
In-domain,Easy,5.0
In-domain,Easy,3.0
In-domain,Easy,5.0
In-domain,Easy,5.0
In-domain,Hard,4.0
In-domain,Hard,4.0
In-domain,Hard,5.0
In-domain,Hard,3.0
In-domain,Hard,4.0
In-domain,Hard,3.0
In-domain,Hard,4.0
In-domain,Hard,5.0
In-domain,Hard,4.0
In-domain,Hard,4.0
In-domain,Hard,4.0
In-domain,Hard,4.0
In-domain,Hard,2.0
In-domain,Hard,4.0
In-domain,Hard,4.0
In-domain,Hard,4.0
In-domain,Hard,5.0
In-domain,Hard,5.0
In-domain,Hard,2.0
In-domain,Hard,5.0
In-domain,Hard,4.0
In-domain,Hard,5.0
In-domain,Hard,5.0
In-domain,Hard,3.0
In-domain,Hard,5.0
In-domain,Hard,5.0
In-domain,Hard,5.0
In-domain,Hard,5.0
In-domain,Hard,4.0
In-domain,Hard,5.0
